"";"clave";"cod_municipio";"municipio";"anio";"fecha";"mes";"dia_semana";"rango_hora";"edad";"sexo";"escolaridad";"estado_civil";"mecanismo_causal";"agresor";"circunstancia";"deficit_cuantitativo";"deficit_cualitativo";"deficit_habitacional";"valor_agregado_2019";"valor_agregado_2020";"total_hombres";"total_mujeres";"total_poblacion";"porcentaje_pobl_hombres";"porcentaje_pobl_mujeres";"energia_electrica";"internet";"pobreza_multi_2018";"analfabetismo";"bajo_logro_educativo";"trabajo_informal"
"62";"08001:2019";"08001";"barranquilla";"2019";"2019-02-02";"2";"6";"1";"32.000";"mujer";"2";"2";"corto punzante";"empleado (a)";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"63";"08001:2019";"08001";"barranquilla";"2019";"2019-02-03";"2";"7";"1";"14.000";"mujer";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"64";"08001:2019";"08001";"barranquilla";"2019";"2019-02-03";"2";"7";"4";"28.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"65";"08001:2019";"08001";"barranquilla";"2019";"2019-02-03";"2";"7";"4";"22.000";"hombre";"2";"2";"corto punzante";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"66";"08758:2019";"08758";"soledad";"2019";"2019-02-03";"2";"7";"4";"22.000";"hombre";NA;"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"67";"08001:2019";"08001";"barranquilla";"2019";"2019-02-04";"2";"1";"1";"30.000";"hombre";"1";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"68";"08758:2019";"08758";"soledad";"2019";"2019-02-04";"2";"1";"4";"30.000";"mujer";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"69";"08001:2019";"08001";"barranquilla";"2019";"2019-02-04";"2";"1";"4";"29.000";"hombre";NA;"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"70";"08001:2019";"08001";"barranquilla";"2019";"2019-02-04";"2";"1";"4";"32.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"71";"08001:2019";"08001";"barranquilla";"2019";"2019-02-04";"2";"1";NA;"33.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"72";"08001:2019";"08001";"barranquilla";"2019";"2019-02-05";"2";"2";"3";"20.000";"hombre";"2";"1";"proyectil de arma de fuego";"agresor desconocido";"delincuencia_comun";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"73";"08758:2019";"08758";"soledad";"2019";"2019-02-06";"2";"3";"4";"27.000";"hombre";"1";"2";"proyectil de arma de fuego";"agresor desconocido";"otra";" 5.01";"27.89";"32.90";"15.8098033";"15.5572240";" 34490";"327086";" 638065";"48.73782";"51.26218";"0.9948549";"0.501";"18.6";" 5.8";"31.4";"86.1"
"74";"08001:2019";"08001";"barranquilla";"2019";"2019-02-07";"2";"4";NA;"33.000";"hombre";"2";"2";"corto punzante";"agresor desconocido";"rina";" 5.13";"20.90";"26.04";"66.4396113";"66.5439567";"595533";"647523";"1243056";"47.90878";"52.09122";"0.9960036";"0.589";"17.4";" 5.2";"29.0";"84.6"
"75";"08421:2019";"08421";"luruaco";"2019";"2019-02-10";"2";"7";"1";"25.000";"hombre";NA;NA;"corto punzante";"agresor desconocido";"otra";"10.57";"76.87";"87.44";" 0.4541158";" 0.4811839";" 34490";" 14719";"  29348";"49.84667";"50.15333";"0.9764545";"0.139";"55.4";"25.8";"65.7";"93.2"
